City,PM2.5,PM10,SO2,NO2,CO,NO,O3,NH3,AQI,AQI_Bucket,PM10_SubIndex,PM2.5_SubIndex,SO2_SubIndex,NO_SubIndex,NH3_SubIndex,CO_SubIndex,O3_SubIndex
Meherpur,101.8,127.04,3.58,15.59,821.11,0.01,19.85,8.04,239.33333333333331,Poor,118.02666666666667,239.33333333333331,4.475,0.0125,2.01,5030.058823529412,19.85
Narail,87.0,105.93,5.42,6.86,480.65,0.0,59.37,4.24,190.0,Moderate,103.95333333333333,190.0,6.775,0.0,1.06,3027.3529411764707,59.37
Satkhira,80.14,98.83,2.8,2.64,383.85,0.0,82.25,2.09,167.13333333333333,Moderate,98.83,167.13333333333333,3.5,0.0,0.5225,2457.9411764705883,82.25
Dhaka,83.08,102.42,8.35,3.26,410.56,0.29,168.8,4.5,176.93333333333334,Moderate,101.61333333333333,176.93333333333334,10.4375,0.36249999999999993,1.125,2615.0588235294117,202.00000000000003
Faridpur,92.27,110.53,11.8,1.97,420.57,0.17,181.68,4.75,207.56666666666666,Poor,107.02,207.56666666666666,14.75,0.2125,1.1875,2673.9411764705883,234.20000000000002
Gazipur,81.52,99.86,8.82,1.22,397.21,0.12,164.51,4.75,171.73333333333332,Moderate,99.86,171.73333333333332,11.025,0.15,1.1875,2536.529411764706,194.86764705882354
Gopalganj,71.45,81.53,11.44,2.19,440.6,0.26,161.65,9.37,138.16666666666669,Moderate,81.53,138.16666666666669,14.3,0.325,2.3425,2791.764705882353,190.66176470588238
Jamalpur,107.25,128.65,12.28,3.17,500.68,0.3,191.69,6.84,257.5,Poor,119.1,257.5,15.35,0.375,1.71,3145.176470588235,259.225
Kishoreganj,95.68,115.04,9.66,1.65,453.95,0.14,165.94,5.76,218.93333333333337,Poor,110.02666666666667,218.93333333333337,12.075,0.17500000000000002,1.44,2870.294117647059,196.97058823529412
Madaripur,87.1,104.89,11.33,1.41,400.54,0.13,164.51,3.9,190.33333333333331,Moderate,103.26,190.33333333333331,14.1625,0.1625,0.975,2556.1176470588234,194.86764705882354
Manikganj,84.3,102.72,9.42,1.41,407.22,0.13,171.66,4.69,181.0,Moderate,101.81333333333333,181.0,11.775,0.1625,1.1725,2595.4117647058824,209.14999999999998
